place,movie_title,rating,year,star_cast
1,The Shawshank Redemption,9.23476612648602,1994,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
2,The Godfather,9.156306779730512,1972,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
3,The Dark Knight,8.988136997843567,2008,"Christopher Nolan (dir.), Christian Bale, Heath Ledger"
4,The Godfather Part II,8.984200753185632,1974,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"
5,12 Angry Men,8.94974863014161,1957,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"
6,Schindler's List,8.936880200680806,1993,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"
7,The Lord of the Rings: The Return of the King,8.925992501006979,2003,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"
8,Pulp Fiction,8.848961133337188,1994,"Quentin Tarantino (dir.), John Travolta, Uma Thurman"
9,The Lord of the Rings: The Fellowship of the Ring,8.806619880475441,2001,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
1," Il buono, il brutto, il cattivo",8.791832013743608,1966,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach"
11,Forrest Gump,8.767684226544894,1994,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright"
12,Fight Club,8.748752254019859,1999,"David Fincher (dir.), Brad Pitt, Edward Norton"
13,Inception,8.733055227685858,2010,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt"
14,The Lord of the Rings: The Two Towers,8.73157245764267,2002,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
15,The Empire Strikes Back,8.700430884367613,1980,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford"
16,The Matrix,8.670060903893205,1999,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"
17,Goodfellas,8.652140387319713,1990,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta"
18,One Flew Over the Cuckoo's Nest,8.639950426755336,1975,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher"
19,Se7en,8.60408526677701,1995,"David Fincher (dir.), Morgan Freeman, Brad Pitt"
20,Shichinin no samurai,8.599027712921103,1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"
21,It's a Wonderful Life,8.595920966968302,1946,"Frank Capra (dir.), James Stewart, Donna Reed"
22,The Silence of the Lambs,8.588030886094568,1991,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins"
23,Cidade de Deus,8.579313166824608,2002,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino"
24,Saving Private Ryan,8.578580408626879,1998,"Steven Spielberg (dir.), Tom Hanks, Matt Damon"
25,La vita è bella,8.56652848848449,1997,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi"
26,Interstellar,8.561339807683872,2014,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway"
27,The Green Mile,8.56133179510179,1999,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan"
28,Star Wars,8.551759038296286,1977,"George Lucas (dir.), Mark Hamill, Harrison Ford"
